ORG_COPPER_NAME,ORG_COPPER_ID,ORG_WEBSITE,STAGE,COPPER_LINK,STATUS
Akin Trade,51042836,NULL,9 - Inactive (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/51042836,Lost
JKT FOODS EUROPE BV,56621905,NULL,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/56621905,Abandoned
Handelsmaatschappij Goos B.V.,40936107,gooshoreca.nl,4 - Offering (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/40936107,Open
Belden wire & cable b.v.,49418528,belden.com,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/49418528,Lost
Trade House b.v.,18465353,NULL,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/18465353,Abandoned
Sekisui Plastics Europe B.V.,50710627,sekisuikasei.com/en,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/50710627,Lost
Biochem Products B.V.,50358364,biochemproducts.com,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/50358364,Open
Keter Group B.V.,39786150,NULL,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/39786150,Abandoned
Ammertech b.v.,14084301,ammertech.nl,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/14084301,Lost
Excretas Medical,13233630,fecotainer.eu,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/13233630,Lost
Ally Coffee,47046068,NULL,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/47046068,Lost
Air France KLM Martinair Cargo,57775310,NULL,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/57775310,Abandoned
Klemko techniek,14861817,klemko.nl,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/14861817,Lost
Mars & More B.V.,47356987,marsandco.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/47356987,Open
breakthechain,12000969,breakthechain.nl,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/12000969,Lost
Raritan Europe b.v.,44298826,raritan.com,8 - Loyal (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/44298826,Won
Amcor Flexible Europe BV,50795453,amcor.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/50795453,Open
Ijsvogel Retail B.V.,35972356,ijsvogelretail.nl,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/35972356,Abandoned
Syntegon Packaging Solutions B.V.,49698543,syntegon.com,4 - Offering (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/49698543,Abandoned
Kkami,11292493,kkami.nl,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/11292493,Abandoned
Siqura B.V.,50073559,siqura.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/50073559,Open
R.C.P. van den Bosch,55076720,	www.boschberkel.nl,6 - Experience (CS+S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/55076720,Won
Melotte,37275637,NULL,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/37275637,Lost
Fabri sport,44301353,fabri.nl,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/44301353,Lost
de-lift-bvba,52849398,delift.be,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/52849398,Open
Mark hope,19983656,NULL,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/19983656,Abandoned
GreenPro International B.V.,56645133,NULL,4 - Offering (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/56645133,Abandoned
Silk-ka B.V.,45663961,silk-ka.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/45663961,Lost
Brabantia S&L Netherlands B.V.,39831505,brabantia.com,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/39831505,Abandoned
Nactis Benelux NV,53106478,NULL,4 - Offering (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/53106478,Abandoned
Satelliet Meubelen b.v.,22598153,atelliet.ne,8 - Loyal (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/22598153,Open
Melitta België NV,52612795,NULL,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/52612795,Open
Xgreens B.V.,54514701,xgreens.freshportal.nl,5 - On-boarding (S+CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/54514701,Won
Batenburg Applied Technologies B.V.,11292532,batenburg.nl,4 - Offering (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/11292532,Open
Moesta-BBQ GmbH,36490112,NULL,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/36490112,Open
Technautic B.V.,24476682,aygroup.nl,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/24476682,Abandoned
No Idea,13233594,noidea.nl,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/13233594,Lost
RedOrange Industry B.V.,53368509,redorange.nl,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/53368509,Open
Groot Holland,55424208,grootholland.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/55424208,Open
ET-International V.o.f.,51988601,et-international.nl,9 - Inactive (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/51988601,Won
van Ree b.v.,14994219,mastermate.nl,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/14994219,Lost
Achilles Logistics Limited,28559854,achilleslogistics.com,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/28559854,Lost
Cardiaid,11292484,cardiaid.nl,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/11292484,Lost
Technische groothandel k. verhoeven b.v.,18140710,k-verhoeven.nl,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/18140710,Abandoned
Bexco,43059249,bexco.be,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/43059249,Abandoned
Handels en Constructiebedrijf D.Aarts B.V,22807483,NULL,9 - Inactive (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/22807483,Won
Honeywell b.v.,49240616,NULL,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/49240616,Open
Bimeko,44528707,bimeko.be,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/44528707,Abandoned
SWI Sneek Hout,33552609,i.eu,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/33552609,Lost
Dillewijn Zwapak,36242464,dillewijnzwapak.nl,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/36242464,Open
AK Steel International B.V.,50896765,aksteel.eu,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/50896765,Lost
Garden Elite,11575229,gardenelite.com,9 - Inactive (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/11575229,Won
BlackBall,56330527,NULL,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/56330527,Abandoned
Cargo Plus' Company,46349890,NULL,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/46349890,Open
Adriaan Goede B.V.,56330716,adriaangoedebv.nl,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/56330716,Open
Het grootkeuken gilde,14996116,NULL,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/14996116,Abandoned
Unifloor Underlay Systems B.V.,50974861,unifloor.nl,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/50974861,Open
Imtrade paper & plastics B.V.,44678952,imtrade.nl,9 - Inactive (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/44678952,Won
Eurosort,21114238,distrisort.com,9 - Inactive (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/21114238,Abandoned
Dipasa Europe B.V.,45640340,dipasa.nl,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/45640340,Open
drogist.nl,52171882,drogist.nl,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/52171882,Open
Mindray Medical Netherlands B.V.,27235000,NULL,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/27235000,Open
Dolby Global B.V.,21815345,dolby.com,5 - On-boarding (S+CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/21815345,Open
Big Box International Trading,51094977,NULL,9 - Inactive (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/51094977,Won
Pami,46731328,pami.be,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/46731328,Abandoned
Pabo,18739762,pabo.nl,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/18739762,Lost
Stertil B.V.,49252886,Stertil.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/49252886,Open
Prolyte,26660424,prolyte.com,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/26660424,Lost
YKK Nederland B.V.,36450527,ykk.nl,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/36450527,Abandoned
HNNY,30987925,hnny.nl,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/30987925,Lost
allbritish,13669740,allbritish.nl,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/13669740,Lost
Sinner B.V.,42928257,inner.eu,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/42928257,Open
Ornandum b.v. / vandenbroeckekliniek,20701635,vandenbroeckekliniek.nl,9 - Inactive (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/20701635,Abandoned
High Demand Brands,36952744,highdemandbrands.eu,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/36952744,Open
AllweCare Medical B.V.,51414326,allwecare.nl,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/51414326,Open
Coming International B.V.,29851360,bodilson.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/29851360,Abandoned
RICCI COUTURE,36261589,NULL,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/36261589,Lost
Cottonic,43089871,cottonic.be,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/43089871,Abandoned
Cellpap B.V.,54938087,NULL,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/54938087,Abandoned
Nieuwe Weme Technische Montages B.V.,44803101,nieuweweme.nl,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/44803101,Open
Industrial Physics,57150641,NULL,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/57150641,Open
Special Things,42420145,pecialthings.be,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/42420145,Abandoned
Seko Logistics,56836217,NULL,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/56836217,Abandoned
Kivo Plastic Verpakkingen B.V.,32140732,kivo.nl,9 - Inactive (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/32140732,Lost
KH Chemicals b.v.,19870335,khchemicals.com,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/19870335,Lost
Kees Smit Tuinmeubelen B.V.,36272910,keessmit.nl,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/36272910,Open
Nephews b.v.,22250782,nephews.eu,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/22250782,Abandoned
Ornamentex B.V.,54514716,ornamentex.nl,6 - Experience (CS+S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/54514716,Won
Atlantis Tech,26928726,NULL,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/26928726,Abandoned
Mid Ocean Group B.V.,37396475,midocean.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/37396475,Open
P & R Advies en Projectbegeleiding,56112677,NULL,5 - On-boarding (S+CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/56112677,Lost
Satelliet Meubelen b.v.,22598153,atelliet.ne,8 - Loyal (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/22598153,Won
Bakeplus,16432701,NULL,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/16432701,Abandoned
Magic FX B.V.,13692882,magicfx.eu,9 - Inactive (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/13692882,Open
Gebr. Simon Speelgoed,30581247,imonspeelgoed.nl,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/30581247,Lost
Heynen,37274880,heynen.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/37274880,Lost
Tolsma,13233995,tolsma.com,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/13233995,Lost
Roton lifts Europe,21331006,rotonlifts.eu,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/21331006,Abandoned
Waddington Europe/ Eureka,13139578,eurekacaterware.com,9 - Inactive (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/13139578,Abandoned
Nauta security storage B.V.,38592987,nauta.com,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/38592987,Lost
Successo,57248632,NULL,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/57248632,Open
PET Recycling Africa B.V.,58369309,NULL,5 - On-boarding (S+CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/58369309,Open
Childhome BVBA,53346424,childhome.com,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/53346424,Abandoned
Furniteam,30582397,furniteam.com,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/30582397,Lost
Smart Life BV,49882217,blaupunktrobotics.eu,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/49882217,Abandoned
Dirkzwager Moordrecht,56332523,NULL,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/56332523,Open
SiSTEMA espresso systemen B.V.,56736291,NULL,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/56736291,Abandoned
Blosh B.V.,52232016,blosh.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/52232016,Open
Hatenboer-Water,33975408,hatenboer-water.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/33975408,Open
Latupo GmbH,34934055,latupo.com,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/34934055,Abandoned
Goods,34160289,goods.nl,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/34160289,Abandoned
Carpentier Professional,40200414,carpentierprofessional.nl,9 - Inactive (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/40200414,Won
Welvaere / Solairc,31054998,elvaere.nl,8 - Loyal (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/31054998,Won
Heron Automaterialen,13563571,heronautomaterialen.nl,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/13563571,Lost
Groenhart group bv,14996675,NULL,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/14996675,Abandoned
van Dijk Groothandel B.V.,52521368,vandijkgroothandel.nl,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/52521368,Open
Arvas BV (sister company of Wiltec),46937922,arvas.com,8 - Loyal (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/46937922,Won
Vadigran,49152840,NULL,4 - Offering (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/49152840,Open
Alpha Group of Companies - Holland,44915515,alphagroup.nl,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/44915515,Open
ASOGEM,38654093,NULL,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/38654093,Lost
Worldtrading Europe BVBA,57430321,NULL,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/57430321,Open
SCION Instruments B.V.,52521344,cioninstruments.com/home.html,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/52521344,Open
Beo Trekwerk,53204857,trekwerk.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/53204857,Abandoned
Roompot Vakanties,47068729,roompot.nl,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/47068729,Lost
Vincent Sheppard,43545114,vincentsheppard.com,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/43545114,Abandoned
Benfried International B.V.,35835890,benfried.com,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/35835890,Abandoned
Bribus B.V.,44404550,NULL,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/44404550,Open
Brand Unit B.V.,15046582,NULL,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/15046582,Abandoned
El Tranque Fruits,57775476,NULL,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/57775476,Open
CCI B.V.,40205189,ccicandy.nl/en/home-en,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/40205189,Abandoned
Dolby Global B.V.,21815345,dolby.com,5 - On-boarding (S+CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/21815345,Lost
Satelliet Meubelen b.v.,22598153,atelliet.ne,8 - Loyal (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/22598153,Open
Medion,58064223,medion.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/58064223,Open
Bestowill International BV,55995363,NULL,7 - Growth (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/55995363,Won
XLBoom,52672136,xlboom.com/en,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/52672136,Open
Luxetenten.com,39158778,NULL,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/39158778,Abandoned
JT International SA,46387265,jti.com,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/46387265,Lost
VF Corporation,49483961,NULL,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/49483961,Open
Polypreen België,38402226,NULL,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/38402226,Lost
Ideal Standard International NV,52849510,idealstandard.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/52849510,Open
Koop van der Wal V.O.F.,37083984,koopvanderwal.com,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/37083984,Abandoned
Mead Johnson Nutrition B.V.,50973190,meadjohnson.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/50973190,Open
Oost matrassen b.v.,30399261,oostslaapcomfort.nl,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/30399261,Abandoned
Teesing B.V.,37372732,teesing.com,9 - Inactive (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/37372732,Won
Raritan Europe b.v.,44298826,raritan.com,8 - Loyal (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/44298826,Lost
Serenotex B.V.,37534159,serenotex.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/37534159,Open
North Bay Produce,55423490,NULL,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/55423490,Abandoned
Aurubis Netherlands B.V.,46044731,aurubis.com,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/46044731,Open
J & B Grijpers B.V.,27941652,jb-grijpers.nl,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/27941652,Abandoned
Olba B.V.,49242394,olba.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/49242394,Open
GREENGIVING BV,32259073,greengiving.nl,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/32259073,Lost
ballasports,12000962,ballasports.nl,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/12000962,Lost
Ixus Trade,40288575,ixustrade.nl,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/40288575,Abandoned
Sonneborn Refined Products B.V.,50778166,sonneborn.com,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/50778166,Open
Benfried International B.V.,35835890,benfried.com,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/35835890,Open
Andromeda logistics,29578945,androforward.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/29578945,Lost
Sportshopdirect,14941108,portshopsdirect.nl,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/14941108,Open
On Top products BV,26589979,NULL,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/26589979,Abandoned
HIGH5 SPORTS,33931114,high5-sports.nl,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/33931114,Lost
Iris Ohyama Europe B.V.,44915433,iriseurope.nl,9 - Inactive (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/44915433,Lost
SIBELCO N.V.,40850753,sibelco.com,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/40850753,Open
Fertikal,52643274,fertikal.be,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/52643274,Open
Audio Pro Nederland B.V.,27912112,audiopro.nl,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/27912112,Abandoned
Hydro Dreaming,37276865,NULL,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/37276865,Lost
Filling Pieces B.V.,49252098,FillingPieces.com/essence,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/49252098,Open
Kessels B.V.,30403152,NULL,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/30403152,Abandoned
Rockmed bv,14137525,rockmed.nl,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/14137525,Abandoned
Rockwool b.v.,13302951,grodan.com,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/13302951,Open
Araco International B.V.,46560131,araco.nl,4 - Offering (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/46560131,Open
Innovatec b.v.,19633742,innovatec.com,7 - Growth (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/19633742,Won
Wilpe.com,27901546,ilpe.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/27901546,Open
Velleman NV,50190607,vellemanusa.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/50190607,Open
Zilenz,45831751,NULL,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/45831751,Lost
Reinaerdt Deuren B.V.,48328385,reinaerdt.nl,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/48328385,Abandoned
Provisur Technologies,29293165,provisur.com,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/29293165,Lost
Kobout B.V.,49880995,kobout.nl,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/49880995,Abandoned
Brands Services B.V.,18962425,brandsgroup.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/18962425,Lost
3w Websolution GmbH,26928728,3w-websolution.de,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/26928728,Abandoned
Luimes & Luimes,37536650,luimes-luimes.nl,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/37536650,Open
BY-BAR B.V.'s Company,13410838,hop-by-bar.nl,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/13410838,Lost
Hapam B.V.,30465748,hapam.nl,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/30465748,Abandoned
Digital Data Communications Gmbh.,57039938,digital-data.de,5 - On-boarding (S+CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/57039938,Open
Cees & Co Meubelen,38238933,cees-co.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/38238933,Open
Albemarle Catalysts Company B.V.,49953669,NULL,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/49953669,Open
Tennant NL B.V.,53435678,bit.ly/2FSJF9n,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/53435678,Open
ALVIQ B.V.,15523315,alviq.com,9 - Inactive (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/15523315,Lost
Hoogland Foods,27998315,hooglandfoods.com,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/27998315,Abandoned
Impex Barneveld B.V.,26590827,impex.nl,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/26590827,Open
Dreamble e commerce b.v.,19048856,NULL,9 - Inactive (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/19048856,Lost
JF Quality,54841766,NULL,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/54841766,Open
YOSHIKO Home,27866100,yoshikohome.com,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/27866100,Lost
Pro-Gear GmbH,50358395,pro-gear.de,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/50358395,Open
Xindao B.V.,36031868,xindao.com/en-gb,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/36031868,Open
Fendale Logistics Ltd,46457048,fendale-logistics.com,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/46457048,Open
Warboud distributie,13206476,bdis.nl,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/13206476,Abandoned
Van Merksteijn International B.V.,47265034,van-merksteijn.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/47265034,Open
Prins Supply B.V.,36969992,prins-supply.nl,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/36969992,Abandoned
Uni-Bright,46071085,unibright.be,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/46071085,Abandoned
Like it a lot B.V.,52611176,likeitalot.nl,5 - On-boarding (S+CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/52611176,Lost
Global Brand Supply,48835898,NULL,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/48835898,Abandoned
Ter Steege B.V.,39718592,tersteege.nl,7 - Growth (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/39718592,Won
The Medical Export Group B.V.,22936457,meg.nl,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/22936457,Open
Deecho,13679812,deecho.nl,NULL,https://app.prosperworks.com/companies/114103/app?p=db#/organization/13679812,Abandoned
